code,name,level
42.13.10.119,Мосты и путепроводы из любых материалов для всех типов сухопутного транспорта и для пешеходов прочие,4
42.13.10.120,Дороги надземные автомобильные (автодорожные эстакады) для движения автотранспортных средств,4
42.13.10.130,"Тоннели, в том числе автодорожные",4
42.13.10.140,Тоннели для подземного железнодорожного движения,4
42.13.2,Работы строительные по строительству мостов и тоннелей,3
42.13.20,Работы строительные по строительству мостов и тоннелей,3
42.13.20.100,"Работы строительные по строительству мостов и тоннелей, кроме работ по сохранению и воссозданию объектов культурного наследия",4
42.13.20.200,"Работы по сохранению и воссозданию мостов и тоннелей, являющихся объектами культурного наследия",4
42.2,Сооружения и строительные работы по строительству инженерных коммуникаций,2
42.21,Сооружения и строительные работы по строительству инженерных коммуникаций для жидкостей и газов,2
42.21.1,Коммуникации инженерные для жидкостей и газов,3
42.21.11,Трубопроводы магистральные для жидкостей и газа,3
42.21.11.110,Трубопроводы магистральные наземные и подводные для перекачки нефтепродуктов и газа,4
42.21.11.111,Трубопровод магистральный наземный и подводный для перекачки газа (газопровод магистральный),4
42.21.11.112,Трубопровод магистральный наземный и подводный для перекачки нефтепродуктов (нефтепровод),4
42.21.11.113,Отвод от трубопровода магистрального для перекачки газа (газопровод магистральный),4
42.21.11.114,Отвод от трубопровода магистрального для перекачки нефтепродуктов (нефтепровод),4
42.21.11.119,Трубопроводы и отводы магистральные наземные и подводные для перекачки нефтепродуктов и газа прочие,4
42.21.11.120,Трубопроводы магистральные наземные и подводные для перекачки воды или прочих продуктов,4
42.21.11.121,Конденсаторопровод магистральный,4
42.21.11.122,Продуктопровод магистральный,4
42.21.11.129,Трубопроводы магистральные наземные и подводные для перекачки воды или продуктов прочие,4
42.21.12,Трубопроводы местные для жидкостей и газа,3
42.21.12.110,Трубопровод местный для воды (водопровод),4
42.21.12.120,Трубопровод местный для газа (газопровод),4
42.21.12.130,Трубопровод местный для нефти (нефтепровод межпромысловый),4
42.21.12.140,Трубопровод технологический,4
42.21.12.150,Отводы от трубопровода местного,4
42.21.12.151,Отвод от трубопровода местного (водопровода),4
42.21.12.152,Отвод от трубопровода местного (газопровода),4
42.21.12.190,Трубопроводы местные прочие,4
42.21.13,"Системы оросительные (каналы); водоводы и водопроводные конструкции; водоочистные станции, станции очистки сточных вод и насосные станции",3
42.21.13.110,Скважина водозаборная,4
42.21.13.120,Системы и сооружения водоснабжения и очистки,4
42.21.13.121,Система бессточного водоснабжения,4
42.21.13.122,Система оборотного водоснабжения,4
42.21.13.123,Система канализации,4
42.21.13.124,Сооружение головное-водозаборное,4
42.21.13.125,Сооружение очистное-водоснабжения,4
42.21.13.126,Сооружение очистное канализации,4
42.21.13.127,Сооружения для очистки сточных вод,4
42.21.13.129,Сооружения водоснабжения и очистки прочие,4
42.21.13.190,"Системы оросительные (каналы); водоводы и водопроводные конструкции; водоочистные станции, станции очистки сточных вод и насосные станции прочие",4
42.21.2,Работы строительные по строительству коммунальных объектов для жидкостей,3
42.21.21,Работы строительные по прокладке магистральных трубопроводов,3
42.21.21.000,Работы строительные по прокладке магистральных трубопроводов,4
42.21.22,Работы строительные по прокладке местных трубопроводов,3
42.21.22.110,Работы строительные по прокладке местных трубопроводов воды или сточных вод,4
42.21.22.120,Работы строительные по прокладке местных трубопроводов горячей воды,4
42.21.22.130,Работы строительные по прокладке местных трубопроводов газа и пара,4
42.21.22.190,Работы строительные по прокладке местных трубопроводов прочих жидкостей и газов,4
42.21.23,"Работы строительные по строительству оросительных систем (каналов), водоводов и водоводных конструкций, водоочистных станций, станций очистки сточных вод и насосных станций",3
42.21.23.000,"Работы строительные по строительству оросительных систем (каналов), водоводов и водоводных конструкций, водоочистных станций, станций очистки сточных вод и насосных станций",4
42.21.24,Работы по бурению водных скважин и монтажу септических систем,3
42.21.24.110,"Работы по бурению водозаборных скважин или отрывке колодцев, требующие специальной квалификации",4
42.21.24.120,Работы по монтажу водозаборных насосов и систем водозаборных трубопроводов,4
42.21.24.130,Работы по монтажу септических систем,4
42.22,Сооружения и строительные работы по строительству коммунальных объектов для электроснабжения и связи,2
42.22.1,Сооружения коммунальные для электроснабжения и связи,3
42.22.11,Линии электропередачи и связи междугородные,3
42.22.11.110,Линии (кабели) электропередачи высокого напряжения,4
42.22.11.120,Линии связи (кабели) надземные и подводные магистральные,4
42.22.12,Линии электропередачи и связи местные,3
42.22.12.110,Линии электропередачи местные,4
42.22.12.111,Линии электропередачи местные воздушные,4
42.22.12.112,Линии электропередачи местные кабельные,4
42.22.12.120,Линии (кабели) связи местные,4
42.22.12.121,Линии (кабели) технологической связи местные,4
42.22.12.122,Линии (кабели) связи внутризоновые,4
42.22.12.123,Линии связи радиорелейные,4
42.22.12.124,Линии связи соединительные телефонной сети,4
42.22.12.129,Линии связи прочие,4
42.22.13,Электростанции,3
42.22.13.100,"Электростанции, кроме атомных электростанций",4
42.22.13.200,Электростанции атомные,4
42.22.13.300,"Оборудование для атомных электростанций, кроме атомных реакторов и их составных частей",4
42.22.13.310,Оборудование транспортно-технологическое атомных электростанций,4
42.22.13.320,Оборудование биологической и тепловой защиты атомных электростанций,4
42.22.13.330,Оборудование теплообменное атомных электростанций,4
42.22.13.331,Конденсаторы теплообменного оборудования атомных электростанций,4
42.22.13.332,Испарители и пароперегреватели парогенераторов теплообменного оборудования атомных электростанций,4
42.22.13.333,Нагреватели теплообменного оборудования атомных электростанций,4
42.22.13.340,Оборудование вспомогательное для атомных электростанций,4
42.22.13.900,"Установки тяжелые электроэнергетические и оборудование прочие, не включенные в другие группировки",4
42.22.2,Работы строительные по строительству коммунальных объектов для электроснабжения и телекоммуникаций,3
42.22.21,Работы строительные по прокладке магистральных линий электропередачи и связи,3
42.22.21.110,"Работы строительные по прокладке линий электропередачи значительной протяженности над землей, включая линии для железных дорог, и по их ремонту",4
42.22.21.120,Работы строительные по прокладке подводных или подземных линий электропередачи значительной протяженности и по их ремонту,4
42.22.21.130,Работы строительные по прокладке надземных линий связи значительной протяженности и по их ремонту,4
42.22.21.140,Работы строительные по прокладке подводных или подземных линий связи значительной протяженности и по их ремонту,4
42.22.22,Работы строительные по прокладке местных линий электропередачи и связи,3
42.22.22.110,Работы строительные по прокладке местных линий электропередачи и связи над землей или под землей,4
42.22.22.120,Работы строительные по строительству трансформаторных станций и подстанций для распределения электричества в пределах какого-либо района,4
42.22.22.130,Работы строительные по монтажу антенн и строительству трансформаторных станций для распределения электричества,4
42.22.22.140,Работы по ремонту местных линий электропередачи и связи,4
42.22.23,Работы строительные по строительству электростанций,3
42.22.23.100,"Работы по строительству, вводу в эксплуатацию и выводу из эксплуатации атомных электростанций",4
42.22.23.110,Работы по строительству атомных электростанций,4
42.22.23.120,Работы по вводу в эксплуатацию атомных электростанций,4
42.22.23.130,Услуги по выводу из эксплуатации атомных электростанций,4
42.22.23.900,"Работы строительные по строительству электростанций, кроме атомных электростанций",4
42.9,Сооружения и строительные работы по строительству прочих гражданских сооружений,2
42.91,Сооружения водные; работы строительные по строительству водных сооружений,2
42.91.1,"Сооружения береговые и портовые, плотины, шлюзы и связанные гидромеханические сооружения",3
42.91.10,"Сооружения береговые и портовые, плотины, шлюзы и связанные гидромеханические сооружения",3
42.91.10.110,Дно портовых акваторий,4
42.91.10.120,Каналы портовые,4
42.91.10.130,"Причалы, молы, пирсы и аналогичные сооружения",4
42.91.10.131,Причал речной грузовой,4
